startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
His torso has the appearance of great mounds of dough.,This torso is skinny.,His torso is obese.,great mounds of dough,Great mounds of dough is skinny.,Great mounds of dough is obese.,1,1386
The falling comet was like a firework,The falling comet was over quickly,The falling comet lasted forever,a firework,A firework was over quickly,A firework lasted forever,0,1395
The falling comet was like a streetlight,The falling comet was over quickly,The falling comet lasted forever,a streetlight,A streetlight was over quickly,A streetlight lasted forever,1,1395
My backyard is like a vast forest,My backyard is overgrown and unkempt.,My backyard is small and confining.,a vast forest,A vast forest is overgrown and unkempt.,A vast forest is small and confining.,0,1396
My backyard is like a cubicle.,My backyard is overgrown and unkempt.,My backyard is small and confining.,a cubicle,A cubicle is overgrown and unkempt.,A cubicle is small and confining.,1,1396
The plot was as intricate as a Set of kid's blocks,The plot was simple,The plot was complicated,a Set of kid's blocks,A set of kid's blocks was simple,A set of kid's blocks was complicated,0,1402
The plot was as intricate as a The parts of a precision timepiece,The plot was simple,The plot was complicated,a The parts of a precision timepiece,A the parts of a precision timepiece was simple,A the parts of a precision timepiece was complicated,1,1402
Her teeth are as shiny as tinsel,Her teeth are sparkling.,Her teeth aren't shiny at all.,tinsel,Tinsel are sparkling.,Tinsel aren't shiny at all.,0,1406
Her teeth are as shiny as concrete,Her teeth are sparkling.,Her teeth aren't shiny at all.,concrete,Concrete are sparkling.,Concrete aren't shiny at all.,1,1406
That man has the honesty of a saint.,The man is very honest.,The man is not honest at all.,a saint,A saint is very honest.,A saint is not honest at all.,0,1409
That man has the honesty of a crook.,The man is very honest.,The man is not honest at all.,a crook,A crook is very honest.,A crook is not honest at all.,1,1409
this cake tastes like dirt,this cake is very bad,this cake is very good,dirt,Dirt is very bad,Dirt is very good,0,1417
this cake tastes like heaven,this cake is very bad,this cake is very good,heaven,Heaven is very bad,Heaven is very good,1,1417
The chair was as comfortable as A bed of nails,The chair is uncomfortable,The chair is very comfortable,A bed of nails,A bed of nails is uncomfortable,A bed of nails is very comfortable,0,1418
The chair was as comfortable as A cloud from heaven,The chair is uncomfortable,The chair is very comfortable,A cloud from heaven,A cloud from heaven is uncomfortable,A cloud from heaven is very comfortable,1,1418
The movie's script had the depth of A Sesame Street episode,The script is shallow and simple,The script is deep and mysterious,A Sesame Street episode,A sesame street episode is shallow and simple,A sesame street episode is deep and mysterious,0,1420
The movie's script had the depth of Sir Arthur Conan Doyle's best novel,The script is shallow and simple,The script is deep and mysterious,Sir Arthur Conan Doyle's best novel,Sir arthur conan doyle's best novel is shallow and simple,Sir arthur conan doyle's best novel is deep and mysterious,1,1420
Studying for a spelling test is a piece of cake,Studying for a spelling test is easy,Studying for a spelling test is hard,a piece of cake,A piece of cake is easy,A piece of cake is hard,0,1424
His imagination is as small as a peanut,He is uncreative,He has a vivid imagination,a peanut,A peanut is uncreative,A peanut has a vivid imagination,0,1429
His imagination is as broad as the sky,He is uncreative,He has a vivid imagination,the sky,The sky is uncreative,The sky has a vivid imagination,1,1429
The crowd was as alert as a gazelle on the Serengeti.,The crowd was on edge,The crowd was bored.,a gazelle on the Serengeti,A gazelle on the serengeti was on edge,A gazelle on the serengeti was bored.,0,1431
The crowd was as alert as a grandpa in a rocker.,The crowd was on edge,The crowd was bored.,a grandpa in a rocker,A grandpa in a rocker was on edge,A grandpa in a rocker was bored.,1,1431
Security is tight as a straight jacket,Security is tight.,Security is loose.,a straight jacket,A straight jacket is tight.,A straight jacket is loose.,0,1434
Security is tight as a loose fitting sweater.,Security is tight.,Security is loose.,a loose fitting sweater,A loose fitting sweater is tight.,A loose fitting sweater is loose.,1,1434
The house had the appeal of seductive gentleman.,The house was inviting and beautiful to behold.,The house was disinviting and not particularly alluring.,seductive gentleman,Seductive gentleman was inviting and beautiful to behold.,Seductive gentleman was disinviting and not particularly alluring.,0,1436
The house had the appeal of a haunted house.,The house was inviting and beautiful to behold.,The house was disinviting and not particularly alluring.,a haunted house,A haunted house was inviting and beautiful to behold.,A haunted house was disinviting and not particularly alluring.,1,1436
My mood was like a whirlpool.,My mood was chaotic and turbulent; it was all over the place.,My mood was steady and calm.,a whirlpool,My mood was chaotic and turbulent; a whirlpool was all over the place.,A whirlpool was steady and calm.,0,1438
My mood was like a peaceful mountain river.,My mood was chaotic and turbulent; it was all over the place.,My mood was steady and calm.,a peaceful mountain river,My mood was chaotic and turbulent; a peaceful mountain river was all over the place.,A peaceful mountain river was steady and calm.,1,1438
The cake slice was as soft as a wooden block,The cake slice was very tough.,The cake slice was soft and light.,a wooden block,A wooden block was very tough.,A wooden block was soft and light.,0,1441
The cake slice was as soft as a sponge,The cake slice was very tough.,The cake slice was soft and light.,a sponge,A sponge was very tough.,A sponge was soft and light.,1,1441
The acne on the girl's face was as noticeable as Paris on a map of France,The acne on the girl's face was very prominent.,The acne on the girl's face was hidden.,Paris ,Paris was very prominent.,Paris was hidden.,0,1442
The acne on the girl's face was as noticeable as an atom in the universe.,The acne on the girl's face was very prominent.,The acne on the girl's face was hidden.,an atom in the universe,An atom in the universe was very prominent.,An atom in the universe was hidden.,1,1442
This house has the spaciousness of Asia,This house is huge,This house is very small,Asia,Asia is huge,Asia is very small,0,1450
This house has the spaciousness of a jail cell,This house is huge,This house is very small,a jail cell,A jail cell is huge,A jail cell is very small,1,1450
My girlfriend has the smell of roses,My girlfriend smells nice,My girlfriend smells bad,roses,Roses smells nice,Roses smells bad,0,1452
My girlfriend has the smell of a garbage can,My girlfriend smells nice,My girlfriend smells bad,a garbage ,A garbage smells nice,A garbage smells bad,1,1452
The girl's hair was as bright as a diamond,The girl's hair was shiny.,The girl's hair was dull.,a diamond,A diamond was shiny.,A diamond was dull.,0,1454
The girl's hair was as bright as an overripe banana peel,The girl's hair was shiny.,The girl's hair was dull.,an overripe banana peel,An overripe banana peel was shiny.,An overripe banana peel was dull.,1,1454
That website is as useful as a landmine in a kitchen,The website was not useful and not practical.,The website was very useful.,a landmine in a kitchen,A landmine in a kitchen was not useful and not practical.,A landmine in a kitchen was very useful.,0,1461
That website is as useful as a million dollars,The website was not useful and not practical.,The website was very useful.,a million dollars,A million dollars was not useful and not practical.,A million dollars was very useful.,1,1461
The movie has the depth of caked makeup,The movie is shallow and boring.,The movie is deep and powerful.,caked makeup,Caked makeup is shallow and boring.,Caked makeup is deep and powerful.,0,1462
The movie has the depth of a volcano,The movie is shallow and boring.,The movie is deep and powerful.,a volcano,A volcano is shallow and boring.,A volcano is deep and powerful.,1,1462
The President has the mind of a drooling baby.,The President is a moron.,The President is a genius.,a drooling baby,A drooling baby is a moron.,A drooling baby is a genius.,0,1464
The President has the mind of Albert Einstein.,The President is a moron.,The President is a genius.,Albert Einstein,Albert einstein is a moron.,Albert einstein is a genius.,1,1464
The employee is as hard-working as a slug,The employee is lazy.,The employee is hard-working.,a slug,A slug is lazy.,A slug is hard-working.,0,1467
The employee is as hard-working as a spider,The employee is lazy.,The employee is hard-working.,a spider,A spider is lazy.,A spider is hard-working.,1,1467
The soldier is a smart as a goldfish.,The soldier is stupid.,The soldier is very smart.,a smart as a goldfish,A smart as a goldfish is stupid.,A smart as a goldfish is very smart.,0,1468
The soldier is a smart as a dolphin.,The soldier is stupid.,The soldier is very smart.,a smart as a dolphin,A smart as a dolphin is stupid.,A smart as a dolphin is very smart.,1,1468
The grading policy is as flexible as silly putty,The grading policy is very lenient.,The grading policy is very strict.,silly putty,Silly putty is very lenient.,Silly putty is very strict.,0,1471
The grading policy is as flexible as a metal pole,The grading policy is very lenient.,The grading policy is very strict.,a metal pole,A metal pole is very lenient.,A metal pole is very strict.,1,1471
The third-word country's military was that of A group of boy scouts,The third-word country's military was very amature,The third-word country's military was very professional,that of A group of boy scouts,That of a group of boy scouts was very amature,That of a group of boy scouts was very professional,0,1475
The third-word country's military was that of A top-notch band of commandos,The third-word country's military was very amature,The third-word country's military was very professional,that of A top-notch band of commandos,That of a top-notch band of commandos was very amature,That of a top-notch band of commandos was very professional,1,1475
The lamp lit the room up like an explosion,The lamp gave off a lot of light,The lamp did not give off much light,an explosion,An explosion gave off a lot of light,An explosion did not give off much light,0,1482
The lamp lit the room up like a poor candle,The lamp gave off a lot of light,The lamp did not give off much light,a poor candle,A poor candle gave off a lot of light,A poor candle did not give off much light,1,1482
This game's rules are a calculus textbook,The game's rules are complicated,The game's rules are simple,a calculus textbook,A calculus textbook are complicated,A calculus textbook are simple,0,1491
This game's rules are a child's picture book,The game's rules are complicated,The game's rules are simple,a child's picture book,A child's picture book are complicated,A child's picture book are simple,1,1491
My head is a drum solo,My head is pounding,My head feels cool and pleasant,a drum solo,A drum solo is pounding,A drum solo feels cool and pleasant,0,1492
My head is an autumn breeze,My head is pounding,My head feels cool and pleasant,an autumn breeze,An autumn breeze is pounding,An autumn breeze feels cool and pleasant,1,1492
The food tasted like a childhood memory.,The food tastes good and is comforting.,The food is disgusting and unpleasant.,a childhood memory,A childhood memory tastes good and is comforting.,A childhood memory is disgusting and unpleasant.,0,1494
The food tasted like the underside of a toilet.,The food tastes good and is comforting.,The food is disgusting and unpleasant.,the underside of a toilet,The underside of a toilet tastes good and is comforting.,The underside of a toilet is disgusting and unpleasant.,1,1494
The land is a rock garden.,The land is bumpy.,The land is smooth.,a rock garden,A rock garden is bumpy.,A rock garden is smooth.,0,1497
The land is an ice rink.,The land is bumpy.,The land is smooth.,an ice rink,An ice rink is bumpy.,An ice rink is smooth.,1,1497
The runner is a sloth.,The runner is slow.,The runner is fast.,a sloth,A sloth is slow.,A sloth is fast.,0,1498
The runner is a cheetah.,The runner is slow.,The runner is fast.,a cheetah,A cheetah is slow.,A cheetah is fast.,1,1498
He is as sharp as a razor,He is very smart,He lacks intelligence,a razor,A razor is very smart,A razor lacks intelligence,0,1502
He is as sharp as a bowling ball,He is very smart,He lacks intelligence,a bowling ball,A bowling ball is very smart,A bowling ball lacks intelligence,1,1502
The movie has the pacing of a slug,The movie is slow.,The movie is well-paced.,a slug,A slug is slow.,A slug is well-paced.,0,1508
The movie has the pacing of a Tour de France champion.,The movie is slow.,The movie is well-paced.,a Tour de France champion,A tour de france champion is slow.,A tour de france champion is well-paced.,1,1508
Your solution is a knife in a wound,Their solution makes things worse.,Their solution really helps.,a knife in a wound,A knife in a wound makes things worse.,A knife in a wound really helps.,0,1518
Your solution is a a stitch in a wound.,Their solution makes things worse.,Their solution really helps.,a a stitch in a wound,A a stitch in a wound makes things worse.,A a stitch in a wound really helps.,1,1518
The house has the strength of popsicle sticks,The house is weak.,The house is strong.,popsicle sticks,Popsicle sticks is weak.,Popsicle sticks is strong.,0,1521
The house has the strength of steel,The house is weak.,The house is strong.,steel,Steel is weak.,Steel is strong.,1,1521
The wall is as thick as bricks,You can hear nothing through the wall.,You can hear everything through the wall.,bricks,Bricks can hear nothing through the wall.,Bricks can hear everything through the wall.,0,1522
The wall is as thick as paper,You can hear nothing through the wall.,You can hear everything through the wall.,paper,Paper can hear nothing through the wall.,Paper can hear everything through the wall.,1,1522
He is as smart as my doctor,He is incredibly smart.,He is not smart at all.,my doctor,My doctor is incredibly smart.,My doctor is not smart at all.,0,1523
He is as smart as a door handle,He is incredibly smart.,He is not smart at all.,a door handle,A door handle is incredibly smart.,A door handle is not smart at all.,1,1523
This man had a temper of The Incredible Hulk,The man is easily and profoundly angered,The man is rarely angered and usually calm,The Incredible Hulk,The incredible hulk is easily and profoundly angered,The incredible hulk is rarely angered and usually calm,0,1530
This man had a temper of The Care Bears,The man is easily and profoundly angered,The man is rarely angered and usually calm,The Care Bears,The care bears is easily and profoundly angered,The care bears is rarely angered and usually calm,1,1530
That professor was about as helpful as a Spanish to English book when you only know Russian,The professor is useless as a source of knowledge,The professor is extremely knowledgeable,a Spanish to English book ,A spanish to english book is useless as a source of knowledge,A spanish to english book is extremely knowledgeable,0,1531
The wall was as thick as rock,The wall was thick,The wall was thin,rock,Rock was thick,Rock was thin,0,1536
The wall was as thick as paper,The wall was thick,The wall was thin,paper,Paper was thick,Paper was thin,1,1536
I am as busy as a teacher on report card day,I have much work,I have little work,a teacher on report card day,A teacher on report card day have much work,A teacher on report card day have little work,0,1539
I am as busy as a sloth on vacation,I have much work,I have little work,a sloth on vacation,A sloth on vacation have much work,A sloth on vacation have little work,1,1539
I'm as calm as a cucumber,I am relaxed,I am hyped,a cucumber,A cucumber am relaxed,A cucumber am hyped,0,1540
I'm as calm as a racoon in a beehive,I am relaxed,I am hyped,a racoon in a beehive,A racoon in a beehive am relaxed,A racoon in a beehive am hyped,1,1540
You work like a turtle.,You work slow.,You work fast.,a turtle,A turtle work slow.,A turtle work fast.,0,1547
You work like a hare.,You work slow.,You work fast.,a hare,A hare work slow.,A hare work fast.,1,1547
The lady is a peacock.,The lady is pretty.,The lady is ugly.,a peacock,A peacock is pretty.,A peacock is ugly.,0,1548
The lady is a crow.,The lady is pretty.,The lady is ugly.,a crow,A crow is pretty.,A crow is ugly.,1,1548
The ocean was a raging bull.,The ocean was rough.,The ocean was calm.,a raging bull,A raging bull was rough.,A raging bull was calm.,0,1549
The ocean was a meek lamb.,The ocean was rough.,The ocean was calm.,a meek lamb,A meek lamb was rough.,A meek lamb was calm.,1,1549
His eyes were ice,His eyes were cold,His eyes were warm and inviting,ice,Ice were cold,Ice were warm and inviting,0,1557
His eyes were sunrays,His eyes were cold,His eyes were warm and inviting,sunrays,Sunrays were cold,Sunrays were warm and inviting,1,1557
Her eyes were like a deep blue sea,Her eyes were inviting,Her eyes weren't inviting,a deep blue sea,A deep blue sea were inviting,A deep blue sea weren't inviting,0,1559
Her eyes were like a bag of coal,Her eyes were inviting,Her eyes weren't inviting,a bag of coal,A bag of coal were inviting,A bag of coal weren't inviting,1,1559
The artist's work is as recognizable as the McDonald's logo,The artist's work is instantly recognizable.,The artist's work isn't recognizable.,the McDonald's logo,The mcdonald's logo is instantly recognizable.,The mcdonald's logo isn't recognizable.,0,1572
The artist's work is as recognizable as a single grain of sand at the beach,The artist's work is instantly recognizable.,The artist's work isn't recognizable.,a single grain of sand at the beach,A single grain of sand at the beach is instantly recognizable.,A single grain of sand at the beach isn't recognizable.,1,1572
John is a mighty moose.,John is very huge.,John is very tiny.,a mighty moose,A mighty moose is very huge.,A mighty moose is very tiny.,0,1586
John is a an ant.,John is very huge.,John is very tiny.,a an ant,A an ant is very huge.,A an ant is very tiny.,1,1586
Joyce is a sloth.,Joyce is very idle and lazy,Joyce is very hardworking and active.,a sloth,A sloth is very idle and lazy,A sloth is very hardworking and active.,0,1587
Joyce is a a bee.,Joyce is very idle and lazy,Joyce is very hardworking and active.,a a bee,A a bee is very idle and lazy,A a bee is very hardworking and active.,1,1587
Her legs are tree trunks,Her legs are fat,Her legs are skinny,tree trunks,Tree trunks are fat,Tree trunks are skinny,0,1588
Her legs are sticks,Her legs are fat,Her legs are skinny,sticks,Sticks are fat,Sticks are skinny,1,1588
Her hair was as curly as a poodle's,Her hair is curly,Her hair is straight,a poodle's,A poodle's is curly,A poodle's is straight,0,1590
Her hair was as curly as ruler,Her hair is curly,Her hair is straight,ruler,Ruler is curly,Ruler is straight,1,1590
That mother had the character of a honey badger,The mother is a terrible person,The mother is a kindly person,a honey badger,A honey badger is a terrible person,A honey badger is a kindly person,0,1596
That mother had the character of a Quokka,The mother is a terrible person,The mother is a kindly person,a Quokka,A quokka is a terrible person,A quokka is a kindly person,1,1596
The actor is a bushwacker.,The actor is sloppy.,The actor is careful.,a bushwacker,A bushwacker is sloppy.,A bushwacker is careful.,0,1599
The actor is a ballerina.,The actor is sloppy.,The actor is careful.,a ballerina,A ballerina is sloppy.,A ballerina is careful.,1,1599
The nurse is a yeti.,The nurse is sloppy.,The nurse is careful.,a yeti,A yeti is sloppy.,A yeti is careful.,0,1600
The nurse is a sculptor.,The nurse is sloppy.,The nurse is careful.,a sculptor,A sculptor is sloppy.,A sculptor is careful.,1,1600
Her attention to detail was like a first grader's,She paid no attention to detail.,She paid a lot of attention to detail.,a first grader's,A first grader's paid no attention to detail.,A first grader's paid a lot of attention to detail.,0,1613
Her attention to detail was like an attorney's,She paid no attention to detail.,She paid a lot of attention to detail.,an attorney's,An attorney's paid no attention to detail.,An attorney's paid a lot of attention to detail.,1,1613
The artist has the personality of a rotten birch tree.,The artist is mean.,The artist is kind.,a rotten birch tree,A rotten birch tree is mean.,A rotten birch tree is kind.,0,1615
The artist has the personality of an elderly oak tree.,The artist is mean.,The artist is kind.,an elderly oak tree,An elderly oak tree is mean.,An elderly oak tree is kind.,1,1615
He can jump like a cat smelling wet food.,He can jump really well.,He can't jump really well.,a cat smelling wet food,A cat smelling wet food can jump really well.,A cat smelling wet food can't jump really well.,0,1619
He can jump like a cat with arthritis.,He can jump really well.,He can't jump really well.,a cat with arthritis,A cat with arthritis can jump really well.,A cat with arthritis can't jump really well.,1,1619
She has the instincts of a viscous cobra,She has aggressive instincts,She has docile instincts,a viscous cobra,A viscous cobra has aggressive instincts,A viscous cobra has docile instincts,0,1621
She has the instincts of a domesticated sheep,She has aggressive instincts,She has docile instincts,a domesticated sheep,A domesticated sheep has aggressive instincts,A domesticated sheep has docile instincts,1,1621
The wild love between the two was a supernova,The love was really wild,The love was not very wild,a supernova,A supernova was really wild,A supernova was not very wild,0,1623
The wild love between the two was a warm glass of milk,The love was really wild,The love was not very wild,a warm glass of milk,A warm glass of milk was really wild,A warm glass of milk was not very wild,1,1623
Their love was a psych ward,Their love was madness.,Their love was not mad.,a psych ward,A psych ward was madness.,A psych ward was not mad.,0,1624
Their love was the discharge unit of a psych ward,Their love was madness.,Their love was not mad.,the discharge unit of a psych ward,The discharge unit of a psych ward was madness.,The discharge unit of a psych ward was not mad.,1,1624
Their love was a garden,Their love was natural and wild.,Their love was tame and man made.,a garden,A garden was natural and wild.,A garden was tame and man made.,0,1625
Their love was a city block,Their love was natural and wild.,Their love was tame and man made.,a city block,A city block was natural and wild.,A city block was tame and man made.,1,1625
The man is as anxious as a kid at the dentist's office,The man is extremely anxious.,The man is very calm.,a kid at the dentist's office,A kid at the dentist's office is extremely anxious.,A kid at the dentist's office is very calm.,0,1632
The man is as anxious as a child who's asleep,The man is extremely anxious.,The man is very calm.,a child who's asleep,A child who's asleep is extremely anxious.,A child who's asleep is very calm.,1,1632
The girl's skin is as pale as milk,The girl's skin is super pale.,The girl's skin is tan.,milk,Milk is super pale.,Milk is tan.,0,1633
Man that boy has the brains of a grandmaster chess player,The boy is not very smart,The boy is a genius,a grandmaster chess player,A grandmaster chess player is not very smart,A grandmaster chess player is a genius,1,1635
The wild has the beauty of a colorful parrot,The wild is attractive and eye catching,The wild is small and boring looking,a colorful parrot,A colorful parrot is attractive and eye catching,A colorful parrot is small and boring looking,0,1636
The wild has the beauty of a mole,The wild is attractive and eye catching,The wild is small and boring looking,a mole,A mole is attractive and eye catching,A mole is small and boring looking,1,1636
These chips have the crunch of an uncooked bowl of ramen,The chips are super crunchy,They lack any crunch,an uncooked bowl of ramen,An uncooked bowl of ramen are super crunchy,An uncooked bowl of ramen lack any crunch,0,1637
These chips have the crunch of an overcooked bowl of ramen,The chips are super crunchy,They lack any crunch,an overcooked bowl of ramen,An overcooked bowl of ramen are super crunchy,An overcooked bowl of ramen lack any crunch,1,1637
The story was as sad as a funeral,The story was sad,The story was fun and happy.,a funeral,A funeral was sad,A funeral was fun and happy.,0,1638
The story was as sad as a party,The story was sad,The story was fun and happy.,a party,A party was sad,A party was fun and happy.,1,1638
The fish was as big as an ox,The fish was large,The fish was small,an ox,An ox was large,An ox was small,0,1639
The fish was as big as a pebble,The fish was large,The fish was small,a pebble,A pebble was large,A pebble was small,1,1639
The pizza tastes like a cardboard box,The pizza is stale.,The pizza is delicious.,a cardboard box,A cardboard box is stale.,A cardboard box is delicious.,0,1641
The pizza tastes like a Thanksgiving dinner,The pizza is stale.,The pizza is delicious.,a Thanksgiving dinner,A thanksgiving dinner is stale.,A thanksgiving dinner is delicious.,1,1641
That person has the strength of a gorilla,The person is strong.,The person is weak.,a gorilla,A gorilla is strong.,A gorilla is weak.,0,1642
That person has the strength of a cotton ball,The person is strong.,The person is weak.,a cotton ball,A cotton ball is strong.,A cotton ball is weak.,1,1642
She has the personality of a cookie,She is friendly.,She is mean.,a cookie,A cookie is friendly.,A cookie is mean.,0,1643
She has the personality of a crocodile,She is friendly.,She is mean.,a crocodile,A crocodile is friendly.,A crocodile is mean.,1,1643
His stomach was as loud as thunder,His stomach was loud,His stomach was quiet,thunder,Thunder was loud,Thunder was quiet,0,1647
His stomach was as loud as a moment of silence,His stomach was loud,His stomach was quiet,a moment of silence,A moment of silence was loud,A moment of silence was quiet,1,1647
She is a California Wildfire.,She is destructive.,She is helpful.,a California Wildfire,A california wildfire is destructive.,A california wildfire is helpful.,0,1653
She is a Sunday rain.,She is destructive.,She is helpful.,a Sunday rain,A sunday rain is destructive.,A sunday rain is helpful.,1,1653
The book had the sophistication of a knock-knock joke,The book is simplistic,The book has depth,a knock-knock joke,A knock-knock joke is simplistic,A knock-knock joke has depth,0,1658
The book had the sophistication of a poem by Keats,The book is simplistic,The book has depth,a poem ,A poem is simplistic,A poem has depth,1,1658
The argument is as clear as a drop of water,The argument is not clear,The argument is very clear,a drop of water,A drop of water is not clear,A drop of water is very clear,1,1659
My teacher's lecture was as engaging as a breaking news clip,My teacher's lecture really interested me.,My teacher's lecture was very boring.,a breaking news clip,A breaking news clip really interested me.,A breaking news clip was very boring.,0,1667
My teacher's lecture was as engaging as a toothpaste commercial,My teacher's lecture really interested me.,My teacher's lecture was very boring.,a toothpaste commercial,A toothpaste commercial really interested me.,A toothpaste commercial was very boring.,1,1667
He played poker like A drunken sailor,He is a poor poker player,He is a great poker player,A drunken sailor,A drunken sailor is a poor poker player,A drunken sailor is a great poker player,0,1669
He played poker like A computerized expert,He is a poor poker player,He is a great poker player,A computerized expert,A computerized expert is a poor poker player,A computerized expert is a great poker player,1,1669
They are as excited as roaches near a pie,they are hyped,they don't care,roaches near a pie,Roaches near a pie are hyped,Roaches near a pie don't care,0,1672
They are as excited as dead lizards,they are hyped,they don't care,dead lizards,Dead lizards are hyped,Dead lizards don't care,1,1672
Love is as soft as a feather.,Love is gentle.,Love is harsh and hurtful.,a feather,A feather is gentle.,A feather is harsh and hurtful.,0,1674
Love is as hard as a car crash.,Love is gentle.,Love is harsh and hurtful.,a car crash,A car crash is gentle.,A car crash is harsh and hurtful.,1,1674
This blanket is as insulating as a wet tissue.,The blanket does not keep me warm.,The blanket keeps me very warm.,a wet tissue,A wet tissue does not keep me warm.,A wet tissue keeps me very warm.,0,1677
This blanket is as insulating as an Alaskan snowsuit.,The blanket does not keep me warm.,The blanket keeps me very warm.,an Alaskan snowsuit,An alaskan snowsuit does not keep me warm.,An alaskan snowsuit keeps me very warm.,1,1677
The girl's personality was as bitter as winter melon,The girl's personality was very bitter.,The girl's personality wasn't bitter at all.,winter melon,Winter melon was very bitter.,Winter melon wasn't bitter at all.,0,1681
The girl's personality was as bitter as vanilla ice cream,The girl's personality was very bitter.,The girl's personality wasn't bitter at all.,vanilla ice cream,Vanilla ice cream was very bitter.,Vanilla ice cream wasn't bitter at all.,1,1681
"For him, she was gravity itself.",She keeps him grounded.,She keeps him free.,gravity itself,Gravity itself keeps him grounded.,Gravity itself keeps him free.,0,1688
"For him, she was a rocket ship.",She keeps him grounded.,She keeps him free.,a rocket ship,A rocket ship keeps him grounded.,A rocket ship keeps him free.,1,1688
The decorations in her house were a window into her mind.,The decorations allow you to see into her.,The decorations obscure her true self.,a window into her mind,A window into her mind allow you to see into her.,A window into her mind obscure her true self.,0,1690
The decorations in her house were a smokescreen in front of her mind.,The decorations allow you to see into her.,The decorations obscure her true self.,a smokescreen in front of her mind,A smokescreen in front of her mind allow you to see into her.,A smokescreen in front of her mind obscure her true self.,1,1690
My love has the strength of a million elephants.,My love is unbreakable.,My love is weak.,a million elephants,A million elephants is unbreakable.,A million elephants is weak.,0,1691
My love has the strength of a wet piece of spaghetti.,My love is unbreakable.,My love is weak.,a wet piece of spaghetti,A wet piece of spaghetti is unbreakable.,A wet piece of spaghetti is weak.,1,1691
The music is a soothing as a screaming kid,The music is not calming,The music is very calming,a soothing as a screaming kid,A soothing as a screaming kid is not calming,A soothing as a screaming kid is very calming,0,1697
The music is a soothing as a hot bath,The music is not calming,The music is very calming,a soothing as a hot bath,A soothing as a hot bath is not calming,A soothing as a hot bath is very calming,1,1697
Her stomach is the size of a pin,Her stomach is very small.,Her stomach is very large.,the size of a pin,The size of a pin is very small.,The size of a pin is very large.,0,1701
Her stomach is the size of a swimming pool,Her stomach is very small.,Her stomach is very large.,the size of a swimming pool,The size of a swimming pool is very small.,The size of a swimming pool is very large.,1,1701
That woman is a kangaroo.,She has a ton of energy.,She doesn't have much energy.,a kangaroo,A kangaroo has a ton of energy.,A kangaroo doesn't have much energy.,0,1703
That woman is a a slug.,She has a ton of energy.,She doesn't have much energy.,a a slug,A a slug has a ton of energy.,A a slug doesn't have much energy.,1,1703
The knife was as sharp as a Samurai sword,The knife was very sharp.,The knife wasn't sharp at all.,a Samurai sword,A samurai sword was very sharp.,A samurai sword wasn't sharp at all.,0,1707
The knife was as sharp as a plastic spoon,The knife was very sharp.,The knife wasn't sharp at all.,a plastic spoon,A plastic spoon was very sharp.,A plastic spoon wasn't sharp at all.,1,1707
Her idea was like a joke,Her idea was ridiculous,Her idea was refreshing,a joke,A joke was ridiculous,A joke was refreshing,0,1708
Her idea was like a breath of fresh air,Her idea was ridiculous,Her idea was refreshing,a breath of fresh air,A breath of fresh air was ridiculous,A breath of fresh air was refreshing,1,1708
His dog was like a bull in a china shop,The dog was knocking things over,The dog was very well behaved,a bull in a china shop,A bull in a china shop was knocking things over,A bull in a china shop was very well behaved,0,1710
His dog was like a disciplined child,The dog was knocking things over,The dog was very well behaved,a disciplined child,A disciplined child was knocking things over,A disciplined child was very well behaved,1,1710
This knife is as sharp as an unused guillotine,It's very sharp,It's not sharp at all,an unused guillotine,An unused guillotine's very sharp,An unused guillotine's not sharp at all,0,1713
This knife is as sharp as a newborn baby,It's very sharp,It's not sharp at all,a newborn baby,A newborn baby's very sharp,A newborn baby's not sharp at all,1,1713
He's as serious as a cancer diagnosis.,He's very serious.,He's not very serious.,a cancer diagnosis,A cancer diagnosis's very serious.,A cancer diagnosis's not very serious.,0,1717
He's as serious as a guinea pig.,He's very serious.,He's not very serious.,a guinea pig,A guinea pig's very serious.,A guinea pig's not very serious.,1,1717
You're as sharp as a knife,You're sharp,You're dull,a knife,A knife're sharp,A knife're dull,0,1718
You're as sharp as a rock,You're sharp,You're dull,a rock,A rock're sharp,A rock're dull,1,1718
She was as beautiful as a blobfish,She was ugly.,She was pretty.,a blobfish,A blobfish was ugly.,A blobfish was pretty.,0,1721
She was as beautiful as a majestic unicorn,She was ugly.,She was pretty.,a majestic unicorn,A majestic unicorn was ugly.,A majestic unicorn was pretty.,1,1721
Owning a cat is like being a servant.,Owning a cat is demanding.,Owning a cat is like having to protect your possessions.,being a servant,Being a servant is demanding.,Being a servant is like having to protect your possessions.,0,1724
Owning a cat is like being a security guard.,Owning a cat is demanding.,Owning a cat is like having to protect your possessions.,being a security guard,Being a security guard is demanding.,Being a security guard is like having to protect your possessions.,1,1724
"Adjusting for inflation, the money was valuable as diamonds",The money is valuable.,The money is worthless.,diamonds,Diamonds is valuable.,Diamonds is worthless.,0,1730
"Adjusting for inflation, the money was valuable as garbage",The money is valuable.,The money is worthless.,garbage,Garbage is valuable.,Garbage is worthless.,1,1730
Her love was a seedling,Her love was growing,Her love was dying,a seedling,A seedling was growing,A seedling was dying,0,1734
Her love was a rotting apple,Her love was growing,Her love was dying,a rotting apple,A rotting apple was growing,A rotting apple was dying,1,1734
