startphrase,ending1,ending2,object,modified_1,modified_2,verb_1,verb_2,labels,qid,result
The book was as interesting as a theme park,The book was interesting,The book was boring,a theme park,A theme park was interesting,A theme park was boring,was,was,0,1318,1
The book was as interesting as wet paint,The book was interesting,The book was boring,wet paint,Wet paint was interesting,Wet paint was boring,was,was,1,1318,0
The song was as delicious as a decadent chocolate,The song is excellent,The song is horrible,a decadent chocolate,A decadent chocolate is excellent,A decadent chocolate is horrible,is,is,0,1319,1
The song was as delicious as vomit,The song is excellent,The song is horrible,vomit,Vomit is excellent,Vomit is horrible,is,is,1,1319,0
The boy was as tired as a marathon winner,The boy was exhausted.,The boy wasn't tired at all.,a marathon winner,A marathon winner was exhausted.,A marathon winner wasn't tired at all.,exhausted,was,0,1325,1
The boy was as tired as the Energizer Bunny,The boy was exhausted.,The boy wasn't tired at all.,the Energizer Bunny,The energizer bunny was exhausted.,The energizer bunny wasn't tired at all.,exhausted,was,1,1325,0
The corporate hierarchy was as flat as the Grand Canyon,The corporate hierarchy was alive and well.,The corporate hierarchy was nonexistent.,the Grand Canyon,The grand canyon was alive and well.,The grand canyon was nonexistent.,was,was,0,1327,0
The corporate hierarchy was as flat as notebook paper,The corporate hierarchy was alive and well.,The corporate hierarchy was nonexistent.,notebook paper,Notebook paper was alive and well.,Notebook paper was nonexistent.,was,was,1,1327,1
Her banana bread is as moist as pudding,Her banana bread is very moist,Her banana bread is very dry,pudding,Pudding is very moist,Pudding is very dry,is,is,0,1336,0
Her banana bread is as moist as leather,Her banana bread is very moist,Her banana bread is very dry,leather,Leather is very moist,Leather is very dry,is,is,1,1336,1
That car moves like a snail,The car is slow,The car is fast,a snail,A snail is slow,A snail is fast,is,is,0,1339,1
The melody sounded like a child's first learning to play the piano.,The melody was simplistic and randomly thrown together.,"The melody was complex, beautiful, and had the feel of a classic work of art.",a child's first learning to play the piano,A child's first learning to play the piano was simplistic and randomly thrown together.,"A child's first learning to play the piano was complex, beautiful, and had the feel of a classic work of art.",was,was,0,1341,1
The melody sounded like a Chopin concerto.,The melody was simplistic and randomly thrown together.,"The melody was complex, beautiful, and had the feel of a classic work of art.",a Chopin concerto,A chopin concerto was simplistic and randomly thrown together.,"A chopin concerto was complex, beautiful, and had the feel of a classic work of art.",was,was,1,1341,0
The mattress has the comfort of a knife.,The mattress is too hard.,The mattress is warm and cozy.,a knife,A knife is too hard.,A knife is warm and cozy.,is,is,0,1343,1
The mattress has the comfort of a hot tub.,The mattress is too hard.,The mattress is warm and cozy.,a hot tub,A hot tub is too hard.,A hot tub is warm and cozy.,is,is,1,1343,0
He's as sharp as a razor.,He's very smart and quick.,He's not smart.,a razor,A razor's very smart and quick.,A razor's not smart.,razor,razor,0,1350,0
He's as sharp as a butter knife.,He's very smart and quick.,He's not smart.,a butter knife,A butter knife's very smart and quick.,A butter knife's not smart.,knife,'s,1,1350,1
She dances like a fairy,she dances well,she dances poorly,a fairy,A fairy dances well,A fairy dances poorly,dances,dances,0,1353,1
She dances like a turtle,she dances well,she dances poorly,a turtle,A turtle dances well,A turtle dances poorly,dances,dances,1,1353,0
The coffee is the temperature of fire,The coffee is burning hot,The coffee is very cold,the temperature of fire,The temperature of fire is burning hot,The temperature of fire is very cold,burning,is,0,1357,0
The coffee is the temperature of ice,The coffee is burning hot,The coffee is very cold,the temperature of ice,The temperature of ice is burning hot,The temperature of ice is very cold,burning,is,1,1357,1
The enemy was scary like Freddy Krueger,The enemy was scary,The enemy was not scary,Freddy Krueger,Freddy krueger was scary,Freddy krueger was not scary,was,was,0,1364,1
The enemy was scary like Snow White,The enemy was scary,The enemy was not scary,Snow White,Snow white was scary,Snow white was not scary,was,was,1,1364,0
The singer has the range of the Himalayas,The singer has a wide vocal range,"The singer has a narrow, poor range",the Himalayas,The himalayas has a wide vocal range,"The himalayas has a narrow, poor range",has,has,0,1369,1
The singer has the range of a mound of sand,The singer has a wide vocal range,"The singer has a narrow, poor range",a mound of sand,A mound of sand has a wide vocal range,"A mound of sand has a narrow, poor range",has,has,1,1369,0
The meaning of the essay is as straightforward as a billboard headline,The essay's meaning is totally clear.,The essay's meaning is very abstract.,a billboard headline,A billboard headline is totally clear.,A billboard headline is very abstract.,is,is,0,1383,1
The meaning of the essay is as straightforward as a Rothko painting,The essay's meaning is totally clear.,The essay's meaning is very abstract.,a Rothko painting,A rothko painting is totally clear.,A rothko painting is very abstract.,is,is,1,1383,1
The situation is as sticky as water,The situation is hard to get out of.,The situation isn't very messy.,water,Water is hard to get out of.,Water isn't very messy.,is,is,1,1384,0
The room has the feeling of a pristine forest.,The room is serene.,The room is chaotic.,a pristine forest,A pristine forest is serene.,A pristine forest is chaotic.,is,is,0,1385,1
The room has the feeling of a rock concert.,The room is serene.,The room is chaotic.,a rock concert,A rock concert is serene.,A rock concert is chaotic.,is,is,1,1385,1
His critical thinking skills are like cotton candy.,He has no critical thinking skills.,He has great critical thinking skills.,cotton candy,Cotton candy has no critical thinking skills.,Cotton candy has great critical thinking skills.,has,has,0,1399,1
His critical thinking skills are a finely tuned machine.,He has no critical thinking skills.,He has great critical thinking skills.,a finely tuned machine,A finely tuned machine has no critical thinking skills.,A finely tuned machine has great critical thinking skills.,has,has,1,1399,1
These pancakes taste like cumulous clouds!,The pancakes are undercooked.,The pancakes are light and fluffy.,cumulous clouds,Cumulous clouds are undercooked.,Cumulous clouds are light and fluffy.,are,are,1,1400,1
The book has the depth of A mud puddle,The book is simplistic,The book is profound,A mud puddle,A mud puddle is simplistic,A mud puddle is profound,is,is,0,1401,1
The book has the depth of The Mariana Trench,The book is simplistic,The book is profound,The Mariana Trench,The mariana trench is simplistic,The mariana trench is profound,is,is,1,1401,1
Her dress is as fancy as a king's crown.,Her dress is very showy.,Her dress is very plain.,a king's crown,A king's crown is very showy.,A king's crown is very plain.,is,is,0,1405,0
Her dress is as fancy as a paper bag,Her dress is very showy.,Her dress is very plain.,a paper bag,A paper bag is very showy.,A paper bag is very plain.,is,is,1,1405,1
She's as tall as a giraffe,She's very tall,She's very small,a giraffe,A giraffe's very tall,A giraffe's very small,giraffe,giraffe,0,1412,0
She's as tall as a mouse,She's very tall,She's very small,a mouse,A mouse's very tall,A mouse's very small,mouse,mouse,1,1412,1
My bed is a giant marshmellow.,My bed is soft.,My bed is hard.,a giant marshmellow,A giant marshmellow is soft.,A giant marshmellow is hard.,is,is,0,1414,0
My bed is a brick.,My bed is soft.,My bed is hard.,a brick,A brick is soft.,A brick is hard.,is,is,1,1414,1
This place has all the charm of a murder scene,This place is terrible,This place is full of wonder.,a murder scene,A murder scene is terrible,A murder scene is full of wonder.,is,is,0,1421,1
This place has all the charm of a an enchanted forest,This place is terrible,This place is full of wonder.,a an enchanted forest,A an enchanted forest is terrible,A an enchanted forest is full of wonder.,is,is,1,1421,0
Listening to that performance was like slamming my fingers in the car door,listening to that performance was a horrible experience,listening to that performance was a wonderful experience,slamming my fingers in the car door,Slamming my fingers in the car door was a horrible experience,Slamming my fingers in the car door was a wonderful experience,was,was,0,1423,1
Listening to that performance was like ascending to paradise,listening to that performance was a horrible experience,listening to that performance was a wonderful experience,ascending to paradise,Ascending to paradise was a horrible experience,Ascending to paradise was a wonderful experience,was,was,1,1423,1
Her demeanor is as cold as ice,She is standoffish,She is friendly,ice,Ice is standoffish,Ice is friendly,is,is,0,1428,0
Her demeanor is as warm as the sun,She is standoffish,She is friendly,the sun,The sun is standoffish,The sun is friendly,is,is,1,1428,1
The wind has the bite of a shark,The wind is cold.,The wind is warm and soothing.,a shark,A shark is cold.,A shark is warm and soothing.,is,is,0,1430,1
The wind has the caress of a lover,The wind is cold.,The wind is warm and soothing.,a lover,A lover is cold.,A lover is warm and soothing.,is,is,1,1430,0
The hole is as deep as a cavern,The hole is deep,The hole is shallow,a cavern,A cavern is deep,A cavern is shallow,is,is,0,1433,1
The hole is as deep as a a puddle,The hole is deep,The hole is shallow,a a puddle,A a puddle is deep,A a puddle is shallow,is,is,1,1433,1
The woman was as smart as a whip,The woman was extremely smart.,The woman wasnt smart at all.,a whip,A whip was extremely smart.,A whip wasnt smart at all.,was,was,0,1448,1
The woman was as smart as a newborn baby.,The woman was extremely smart.,The woman wasnt smart at all.,a newborn baby,A newborn baby was extremely smart.,A newborn baby wasnt smart at all.,was,was,1,1448,0
The song has the energy of a lightning bolt to the brain.,The song is full of power.,The song is ordinary and dull.,a lightning bolt ,A lightning bolt is full of power.,A lightning bolt is ordinary and dull.,is,is,0,1463,1
The song has the energy of a dog lapping water.,The song is full of power.,The song is ordinary and dull.,a dog lapping water,A dog lapping water is full of power.,A dog lapping water is ordinary and dull.,is,is,1,1463,0
The budget is as tight as Spandex,The budget is very tight.,The budget isn't tight at all.,Spandex,Spandex is very tight.,Spandex isn't tight at all.,is,is,0,1470,1
The budget is as tight as a pair of extra-large sweatpants,The budget is very tight.,The budget isn't tight at all.,a pair of extra-large sweatpants,A pair of extra-large sweatpants is very tight.,A pair of extra-large sweatpants isn't tight at all.,is,is,1,1470,0
When taking the test she felt like a nuclear physicist.,She felt very smart while taking the test.,She felt very stupid while taking the test.,a nuclear physicist,A nuclear physicist felt very smart while taking the test.,A nuclear physicist felt very stupid while taking the test.,felt,felt,0,1474,0
When taking the test she felt like a two-month old.,She felt very smart while taking the test.,She felt very stupid while taking the test.,a two-month old,A two-month old felt very smart while taking the test.,A two-month old felt very stupid while taking the test.,felt,felt,1,1474,1
That writer's prose is city smog,That writer's prose is difficult and unpleasant to process,That writer's prose is simple and pleasant to process,city smog,City smog is difficult and unpleasant to process,City smog is simple and pleasant to process,is,is,0,1476,1
That writer's prose is homemade pie,That writer's prose is difficult and unpleasant to process,That writer's prose is simple and pleasant to process,homemade pie,Homemade pie is difficult and unpleasant to process,Homemade pie is simple and pleasant to process,is,is,1,1476,0
Her voice was like a banshee.,Her voice is loud.,Her voice is soft.,a banshee,A banshee is loud.,A banshee is soft.,is,is,0,1479,0
Her voice was like a songbird.,Her voice is loud.,Her voice is soft.,a songbird,A songbird is loud.,A songbird is soft.,is,is,1,1479,0
The girl is as intelligent as a NASA astronomer,The girl is wildly intelligent.,The girl is totally dumb.,a NASA astronomer,A nasa astronomer is wildly intelligent.,A nasa astronomer is totally dumb.,is,is,0,1480,0
The girl is as intelligent as an illiterate person,The girl is wildly intelligent.,The girl is totally dumb.,an illiterate person,An illiterate person is wildly intelligent.,An illiterate person is totally dumb.,is,is,1,1480,1
Joes new outfit had him feeling like a million bucks,The outfit made Joe feel good,The outfit made Joe feel bad,a million bucks,A million bucks made joe feel good,A million bucks made joe feel bad,made,made,0,1484,1
Joes new outfit had him feeling like an ant,The outfit made Joe feel good,The outfit made Joe feel bad,an ant,An ant made joe feel good,An ant made joe feel bad,made,ant,1,1484,0
The dog has the patience of the sea,The dog can wait a long time,The dog cannot wait,the sea,The sea can wait a long time,The sea cannot wait,wait,wait,0,1490,0
The dog has the patience of an infant,The dog can wait a long time,The dog cannot wait,an infant,An infant can wait a long time,An infant cannot wait,wait,wait,1,1490,1
Your cat is friendly as a teddy bear.,The cat is lovable and friendly.,The cat is vicious and scary.,a teddy bear,A teddy bear is lovable and friendly.,A teddy bear is vicious and scary.,is,is,0,1496,0
Your cat is friendly as a velociraptor.,The cat is lovable and friendly.,The cat is vicious and scary.,a velociraptor,A velociraptor is lovable and friendly.,A velociraptor is vicious and scary.,is,is,1,1496,1
The necklace is a star.,The necklace is shining.,The necklace is dull.,a star,A star is shining.,A star is dull.,shining,is,0,1499,1
The necklace is a mud pie.,The necklace is shining.,The necklace is dull.,a mud pie,A mud pie is shining.,A mud pie is dull.,shining,is,1,1499,1
The man has the eyes of a bat,The man can't see anything.,"The man has clear, sharp vision.",a bat,A bat can't see anything.,"A bat has clear, sharp vision.",see,has,0,1505,1
The man has the eyes of a sniper,The man can't see anything.,"The man has clear, sharp vision.",a sniper,A sniper can't see anything.,"A sniper has clear, sharp vision.",see,has,1,1505,0
The man has the patience of a baby,The man is short-tempered.,The man is has a large amount of patience.,a baby,A baby is short-tempered.,A baby is has a large amount of patience.,is,is,0,1506,1
The man has the patience of a god,The man is short-tempered.,The man is has a large amount of patience.,a god,A god is short-tempered.,A god is has a large amount of patience.,is,is,1,1506,0
The light has the shine of a black hole,The light is very dim.,The light is shining brightly.,a black hole,A black hole is very dim.,A black hole is shining brightly.,is,shining,0,1507,1
The light has the shine of a flashing neon sign,The light is very dim.,The light is shining brightly.,a flashing neon sign,A flashing neon sign is very dim.,A flashing neon sign is shining brightly.,is,shining,1,1507,1
The conference was as fun as a carnival,The conference was fun to attend.,The conference was boring.,a carnival,A carnival was fun to attend.,A carnival was boring.,was,was,0,1511,0
The conference was as fun as a math lecture,The conference was fun to attend.,The conference was boring.,a math lecture,A math lecture was fun to attend.,A math lecture was boring.,was,was,1,1511,1
He had the authority of Joseph Stalin.,He was too harsh and had a lot of authority.,He had not authority.,Joseph Stalin,Joseph stalin was too harsh and had a lot of authority.,Joseph stalin had not authority.,was,had,0,1519,0
He had the authority of a puppy dog.,He was too harsh and had a lot of authority.,He had not authority.,a puppy dog,A puppy dog was too harsh and had a lot of authority.,A puppy dog had not authority.,was,authority,1,1519,1
Her ego was a hot air balloon.,She had a huge ego.,She did not have a huge ego.,a hot air balloon,A hot air balloon had a huge ego.,A hot air balloon did not have a huge ego.,had,have,0,1520,1
Her ego was a popped balloon.,She had a huge ego.,She did not have a huge ego.,a popped balloon,A popped balloon had a huge ego.,A popped balloon did not have a huge ego.,had,have,1,1520,0
He has the emotional intelligence of a rock,He completely lacks empathy and emotional consideration for others.,"He is conscious of other people's problems, and reaches out constantly to help them.",a rock,A rock completely lacks empathy and emotional consideration for others.,"A rock is conscious of other people's problems, and reaches out constantly to help them.",lacks,is,0,1525,1
He has the emotional intelligence of Dr. Phil,He completely lacks empathy and emotional consideration for others.,"He is conscious of other people's problems, and reaches out constantly to help them.",Dr. Phil,Dr. phil completely lacks empathy and emotional consideration for others.,"Dr. phil is conscious of other people's problems, and reaches out constantly to help them.",lacks,is,1,1525,0
The monitor has the brightness of the sun,The monitor is bright,The monitor is dark,the sun,The sun is bright,The sun is dark,is,is,0,1527,1
The monitor has the brightness of a cave,The monitor is bright,The monitor is dark,a cave,A cave is bright,A cave is dark,is,is,1,1527,1
The speaker has the loudness of a concert,The speaker is loud,The speaker is quiet,a concert,A concert is loud,A concert is quiet,is,is,0,1528,0
The speaker has the loudness of a whisper,The speaker is loud,The speaker is quiet,a whisper,A whisper is loud,A whisper is quiet,is,is,1,1528,0
The room has the space of an auditorium,The room is large,The room is small,an auditorium,An auditorium is large,An auditorium is small,is,is,0,1529,0
The room has the space of a closet,The room is large,The room is small,a closet,A closet is large,A closet is small,is,is,1,1529,1
The apartment complex was as old as the Great Pyramids,The apartment complex was very old.,The apartment complex was very new.,the Great Pyramids,The great pyramids was very old.,The great pyramids was very new.,was,was,0,1535,1
The apartment complex was as old as a just-born baby,The apartment complex was very old.,The apartment complex was very new.,a just-born baby,A just-born baby was very old.,A just-born baby was very new.,was,was,1,1535,0
He was as playful as a puppy,He was very playful,He wasn't playful at all,a puppy,A puppy was very playful,A puppy wasn't playful at all,was,was,0,1558,1
He was as playful as a rock,He was very playful,He wasn't playful at all,a rock,A rock was very playful,A rock wasn't playful at all,was,was,1,1558,0
The woman's hair was a mirror.,The woman's hair was shiny.,The woman's hair was dull.,a mirror,A mirror was shiny.,A mirror was dull.,was,was,0,1575,1
The woman's hair was a mud pie.,The woman's hair was shiny.,The woman's hair was dull.,a mud pie,A mud pie was shiny.,A mud pie was dull.,was,was,1,1575,0
The diamond was a mirror.,The diamond was shiny.,The diamond was dull.,a mirror,A mirror was shiny.,A mirror was dull.,was,was,0,1576,1
The diamond was a mud pie.,The diamond was shiny.,The diamond was dull.,a mud pie,A mud pie was shiny.,A mud pie was dull.,was,was,1,1576,0
He was as fast as a cheetah,He was very fast,He was very slow,a cheetah,A cheetah was very fast,A cheetah was very slow,was,was,0,1582,1
He was as fast as a turtle,He was very fast,He was very slow,a turtle,A turtle was very fast,A turtle was very slow,was,was,1,1582,0
She has the heart of a stone,She is very unfriendly.,She is very kind.,a stone,A stone is very unfriendly.,A stone is very kind.,is,is,0,1585,0
She has the heart of gold,She is very unfriendly.,She is very kind.,gold,Gold is very unfriendly.,Gold is very kind.,is,is,1,1585,1
The girl carried weight on her like a Sumo wrestler,The girl had a ton of weight on her body.,The girl was very thin.,a Sumo wrestler,A sumo wrestler had a ton of weight on her body.,A sumo wrestler was very thin.,had,was,0,1595,0
The girl carried weight on her like a ballerina,The girl had a ton of weight on her body.,The girl was very thin.,a ballerina,A ballerina had a ton of weight on her body.,A ballerina was very thin.,had,was,1,1595,1
The world is an ice cream sundae.,The world is awful.,The world is wonderful.,an ice cream sundae,An ice cream sundae is awful.,An ice cream sundae is wonderful.,is,is,1,1603,1
The theory has the validity of A tall tale from Paul Bunyan,The theory is not valid,The theory is very solid and valid,A tall tale from Paul Bunyan,A tall tale from paul bunyan is not valid,A tall tale from paul bunyan is very solid and valid,is,is,0,1604,1
The theory has the validity of Einstein's best work,The theory is not valid,The theory is very solid and valid,Einstein's best work,Einstein's best work is not valid,Einstein's best work is very solid and valid,is,is,1,1604,0
The newspaper article read like a good novel.,"The newspaper article was interesting, well-written, and engaging to the reader.","The newspaper article was amateurish, sloppily-written, and simplistic.",a good novel,"A good novel was interesting, well-written, and engaging to the reader.","A good novel was amateurish, sloppily-written, and simplistic.",was,was,0,1609,1
The newspaper article read like the work of a middle school journalist.,"The newspaper article was interesting, well-written, and engaging to the reader.","The newspaper article was amateurish, sloppily-written, and simplistic.",the work of a middle school journalist,"The work of a middle school journalist was interesting, well-written, and engaging to the reader.","The work of a middle school journalist was amateurish, sloppily-written, and simplistic.",was,was,1,1609,0
Her attention span was as long as an infinity pool,She could pay attention for a long time.,She could not pay attention.,an infinity pool,An infinity pool could pay attention for a long time.,An infinity pool could not pay attention.,pay,pay,0,1614,0
Her attention span was as long as an Oompa Loompa,She could pay attention for a long time.,She could not pay attention.,an Oompa Loompa,An oompa loompa could pay attention for a long time.,An oompa loompa could not pay attention.,pay,pay,1,1614,1
The politician has the personality of a nursing home.,The politician is senile.,The politician is immature.,a nursing home,A nursing home is senile.,A nursing home is immature.,is,is,0,1616,0
The politician has the personality of a kindergarten classroom.,The politician is senile.,The politician is immature.,a kindergarten classroom,A kindergarten classroom is senile.,A kindergarten classroom is immature.,is,is,1,1616,1
Your hair looks like a rag mop,Your hair is a mess and unappealing,Your hair is beautiful and lustrous,a rag ,A rag is a mess and unappealing,A rag is beautiful and lustrous,is,is,0,1626,0
She has the imagination of an artist,She has a good imagination,She has no imagination,an artist,An artist has a good imagination,An artist has no imagination,has,has,0,1629,1
She has the imagination of a rock,She has a good imagination,She has no imagination,a rock,A rock has a good imagination,A rock has no imagination,has,has,1,1629,1
The woman was as mad as a raging bull,The woman was very mad,The woman was not mad,a raging bull,A raging bull was very mad,A raging bull was not mad,was,was,0,1640,0
The woman was as mad as a kitten,The woman was very mad,The woman was not mad,a kitten,A kitten was very mad,A kitten was not mad,was,was,1,1640,1
Her eyes were like two sparkling emeralds,her eyes were bright green,her eyes were blue,two sparkling emeralds,Two sparkling emeralds were bright green,Two sparkling emeralds were blue,were,were,0,1644,0
Her eyes were like the waves of the ocean,her eyes were bright green,her eyes were blue,the waves of the ocean,The waves of the ocean were bright green,The waves of the ocean were blue,were,were,1,1644,1
The ice cream is as delicious as sawdust.,The ice cream tastes terrible.,The ice cream tastes wonderful.,sawdust,Sawdust tastes terrible.,Sawdust tastes wonderful.,tastes,tastes,0,1649,1
The ice cream is as delicious as Sunny Delight.,The ice cream tastes terrible.,The ice cream tastes wonderful.,Sunny Delight,Sunny delight tastes terrible.,Sunny delight tastes wonderful.,tastes,tastes,1,1649,1
The child was as pretty as the dog poop on my shoe.,The child was ugly.,The child was beautiful.,the dog poop on my shoe,The dog poop on my shoe was ugly.,The dog poop on my shoe was beautiful.,was,was,0,1650,0
The child was as pretty as the flower that blooms once per year.,The child was ugly.,The child was beautiful.,the flower that blooms once per year,The flower that blooms once per year was ugly.,The flower that blooms once per year was beautiful.,flower,flower,1,1650,1
He is a dice missing a side.,His is unlucky.,He is lucky.,a dice missing a side,A dice missing a side is unlucky.,A dice missing a side is lucky.,is,is,0,1654,0
He is a full bag of dice.,His is unlucky.,He is lucky.,a full bag of dice,A full bag of dice is unlucky.,A full bag of dice is lucky.,is,is,1,1654,1
Success in life is like a casino.,Success in life is mostly based on luck.,Success in life is mostly based on skill.,a casino,A casino is mostly based on luck.,A casino is mostly based on skill.,based,based,0,1657,1
Success in life is like poker.,Success in life is mostly based on luck.,Success in life is mostly based on skill.,poker,Poker is mostly based on luck.,Poker is mostly based on skill.,based,based,1,1657,0
The chili is as hot as El Paso in summer.,The chili is very hot.,The chili is not hot at all.,El Paso ,El paso is very hot.,El paso is not hot at all.,is,is,0,1660,1
The chili is as hot as a snowball.,The chili is very hot.,The chili is not hot at all.,a snowball,A snowball is very hot.,A snowball is not hot at all.,is,is,1,1660,0
Mr. Edward wife is a goddess,"Mr. Edward wife is a very good, gentle and kind-hearted person","Mr. Edward wife is a crazy, stupid or an annoying person",a goddess,"A goddess is a very good, gentle and kind-hearted person","A goddess is a crazy, stupid or an annoying person",is,is,0,1663,1
Mr. Edward wife is a  mad cow,"Mr. Edward wife is a very good, gentle and kind-hearted person","Mr. Edward wife is a crazy, stupid or an annoying person",a  mad cow,"A  mad cow is a very good, gentle and kind-hearted person","A  mad cow is a crazy, stupid or an annoying person",is,is,1,1663,0
Her personality is as interesting as a New York Times headline,She has an interesting personality.,She has no personality.,a New York Times headline,A new york times headline has an interesting personality.,A new york times headline has no personality.,has,has,0,1665,0
Her personality is as interesting as a grocery list,She has an interesting personality.,She has no personality.,a grocery list,A grocery list has an interesting personality.,A grocery list has no personality.,has,has,1,1665,1
The casino had the ambiance of A dirty junkyard,The casino had a bad atmosphere,The casino had a good atmosphere,A dirty junkyard,A dirty junkyard had a bad atmosphere,A dirty junkyard had a good atmosphere,had,had,0,1668,0
The casino had the ambiance of A palace of gold,The casino had a bad atmosphere,The casino had a good atmosphere,A palace of gold,A palace of gold had a bad atmosphere,A palace of gold had a good atmosphere,had,had,1,1668,1
She is as envious as a starving racoon,she is greedy,she is nice,a starving racoon,A starving racoon is greedy,A starving racoon is nice,is,is,0,1670,0
She is as envious as a a nun,she is greedy,she is nice,a a nun,A a nun is greedy,A a nun is nice,is,is,1,1670,1
The boss was as evil as the devil,the boss is mean,the boss is nice,the devil,The devil is mean,The devil is nice,is,is,0,1671,0
The boss was as evil as an angel,the boss is mean,the boss is nice,an angel,An angel is mean,An angel is nice,is,is,1,1671,1
Cleopatra had the beauty of the gods Venus and Hathor combined,Cleopatra was quite beautiful,Cleopatra was very ugly,the gods Venus and Hathor ,The gods venus and hathor was quite beautiful,The gods venus and hathor was very ugly,was,was,0,1673,0
Cleopatra had the beauty of the Ugly Duckling after being hit twice with the ugly stick,Cleopatra was quite beautiful,Cleopatra was very ugly,the Ugly Duckling ,The ugly duckling was quite beautiful,The ugly duckling was very ugly,was,was,1,1673,1
Love is as beautiful as a sunset,Love is beautiful,Love is ugly,a sunset,A sunset is beautiful,A sunset is ugly,is,is,0,1678,1
Love is as beautiful as warthog,Love is beautiful,Love is ugly,warthog,Warthog is beautiful,Warthog is ugly,is,is,1,1678,0
The jacket was as trendy as Tik Tok,The jacket was trendy,The jacket was outdated,Tik Tok,Tik tok was trendy,Tik tok was outdated,was,outdated,0,1679,0
The jacket was as trendy as MySpace,The jacket was trendy,The jacket was outdated,MySpace,Myspace was trendy,Myspace was outdated,was,outdated,1,1679,1
he has the emotional capacity of a kitty pool,He is not emotionally-open,he is very open emotionally,a kitty pool,A kitty pool is not emotionally-open,A kitty pool is very open emotionally,is,is,0,1686,0
he has the emotional capacity of a great lake,He is not emotionally-open,he is very open emotionally,a great lake,A great lake is not emotionally-open,A great lake is very open emotionally,is,is,1,1686,1
That corporation has the integrity of a politician.,The corporation doesn't have integrity.,The corporation has a lot of integrity.,a politician,A politician doesn't have integrity.,A politician has a lot of integrity.,have,has,0,1689,0
That corporation has the integrity of a monk.,The corporation doesn't have integrity.,The corporation has a lot of integrity.,a monk,A monk doesn't have integrity.,A monk has a lot of integrity.,have,has,1,1689,1
He was as magical as a fresh winter snow.,He was very intriguing.,He was very boring.,a fresh winter snow,A fresh winter snow was very intriguing.,A fresh winter snow was very boring.,was,was,0,1692,1
He was as magical as a dull stone.,He was very intriguing.,He was very boring.,a dull stone,A dull stone was very intriguing.,A dull stone was very boring.,was,was,1,1692,1
The girl was as thin as a feather,The girl was so thin she was wispy.,The girl was very fat.,a feather,A feather was so thin she was wispy.,A feather was very fat.,was,was,0,1700,0
The girl was as thin as a blown-up balloon,The girl was so thin she was wispy.,The girl was very fat.,a blown-up balloon,A blown-up balloon was so thin she was wispy.,A blown-up balloon was very fat.,was,was,1,1700,1
This house is as big as Abraham Lincoln's log cabin,The house is small.,The house is big.,Abraham Lincoln's log cabin,Abraham lincoln's log cabin is small.,Abraham lincoln's log cabin is big.,is,is,0,1706,1
This house is as big as the Taj Mahal,The house is small.,The house is big.,the Taj Mahal,The taj mahal is small.,The taj mahal is big.,is,is,1,1706,1
It's as real as a reverse minotaur,It doesn't exist,It's very real,a reverse minotaur,A reverse minotaur doesn't exist,A reverse minotaur's very real,exist,real,0,1714,1
He can run like a winning racehorse.,He can run really well.,He cannot run really well.,a winning racehorse,A winning racehorse can run really well.,A winning racehorse cannot run really well.,run,run,0,1716,1
He can run like a dying nag.,He can run really well.,He cannot run really well.,a dying nag,A dying nag can run really well.,A dying nag cannot run really well.,run,run,1,1716,0
The teenager has the depth of a kiddie pool.,The teenager is superficial.,The teenager is profound.,a kiddie pool,A kiddie pool is superficial.,A kiddie pool is profound.,is,is,0,1726,0
The teenager has the depth of the Grand Canyon.,The teenager is superficial.,The teenager is profound.,the Grand Canyon,The grand canyon is superficial.,The grand canyon is profound.,is,is,1,1726,1
The champagne has the effervescence of lukewarm coffee.,The champagne is flat.,The champagne is bubbly.,lukewarm coffee,Lukewarm coffee is flat.,Lukewarm coffee is bubbly.,is,is,0,1728,1
The champagne has the effervescence of an antacid tablet.,The champagne is flat.,The champagne is bubbly.,an antacid tablet,An antacid tablet is flat.,An antacid tablet is bubbly.,is,is,1,1728,0
The villain was as powerful as a god,The villain was powerful,The villain was nearly powerless,a god,A god was powerful,A god was nearly powerless,was,was,0,1732,1
The villain was as powerful as an insect,The villain was powerful,The villain was nearly powerless,an insect,An insect was powerful,An insect was nearly powerless,was,was,1,1732,0
The argument has the strength of a derelict fortress.,The argument is weak.,The argument is strong.,a derelict fortress,A derelict fortress is weak.,A derelict fortress is strong.,is,is,0,1755,0
The argument has the strength of a weapon of war.,The argument is weak.,The argument is strong.,a weapon of war,A weapon of war is weak.,A weapon of war is strong.,is,is,1,1755,1
The performance was as exciting as a hurricane.,The performance was good.,The performance was bad.,a hurricane,A hurricane was good.,A hurricane was bad.,was,was,0,1763,0
The performance was as exciting as a damp sidewalk.,The performance was good.,The performance was bad.,a damp sidewalk,A damp sidewalk was good.,A damp sidewalk was bad.,was,was,1,1763,0
This mechanicalturk task is a sound from a lighthouse,This mechanicalturk task is well-explained,This mechanicalturk task is vague,a sound from a lighthouse,A sound from a lighthouse is well-explained,A sound from a lighthouse is vague,is,is,0,1770,0
This mechanicalturk task is a pollution storm,This mechanicalturk task is well-explained,This mechanicalturk task is vague,a pollution storm,A pollution storm is well-explained,A pollution storm is vague,is,is,1,1770,1
